PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1990,-23.56,-23.46,-9.49,-4.2,7.58,15.47,17.61,16.87,9.57,-1.79,-12.17,-26.42,-2.72
T2M,1991,-27.67,-16.72,-10.7,1.55,9.46,16.09,18.04,18.25,8.38,-2.96,-15.65,-19.89,-1.74
T2M,1992,-20.42,-17.88,-9.65,-2.2,7.19,11.94,15.14,15.55,6.99,0.9,-7.03,-23.58,-1.88
T2M,1993,-22.04,-19.45,-9.07,1.83,8.29,13.5,15.8,15.58,5.86,-1.57,-12.81,-21.7,-2.06
T2M,1994,-31.5,-25.98,-8.99,-2.85,8.38,15.58,16.68,15.37,12.14,3.05,-8.31,-17.6,-1.87
T2M,1995,-21.06,-20.37,-11.49,-3.64,8.72,18.41,16.55,16.19,9.8,2.09,-14.31,-21.87,-1.64
T2M,1996,-29.86,-18.88,-15.71,-3.65,6.11,15.73,18.48,17.66,10.11,-0.4,-14.84,-24.38,-3.27
T2M,1997,-26.77,-19.3,-13.85,-3.36,5.46,14.98,18.62,16.19,9.98,-1.41,-10.79,-13.51,-1.89
T2M,1998,-24.6,-11.08,-11.53,3.69,8.83,14.58,18.14,18.01,10.3,2.07,-7.87,-21.17,-0.02
T2M,1999,-24.81,-15.63,-8.1,3.41,9.05,14.86,17.01,16.38,8.87,0.64,-6.1,-17.56,-0.1
T2M,2000,-24.55,-14.2,-7.45,0.01,7.27,11.87,18.19,15.54,7.93,2.73,-8.81,-24.82,-1.33
T2M,2001,-16.06,-21.47,-9.71,1.68,10.06,13.67,19.15,17.67,10.94,1.64,-6.45,-16.88,0.48
T2M,2002,-23.29,-16.31,-16.91,-5.27,4.4,16.15,18.87,15.92,9.41,-2.92,-10.17,-14.68,-2.0
T2M,2003,-22.63,-25.23,-13.56,-0.47,11.35,16.76,18.31,19.63,9.85,2.21,-12.56,-15.83,-0.86
T2M,2004,-26.92,-15.54,-11.77,-1.18,4.04,11.85,16.9,12.58,9.96,0.51,-7.47,-26.38,-2.78
T2M,2005,-24.98,-17.57,-12.77,2.39,7.87,13.83,17.82,14.71,9.12,1.69,-6.8,-15.75,-0.79
T2M,2006,-16.77,-19.75,-9.43,4.43,8.02,16.35,17.65,15.61,9.44,-0.25,-13.74,-15.64,-0.23
T2M,2007,-20.88,-23.32,-11.13,-1.78,8.69,13.02,19.12,13.79,7.37,2.84,-12.51,-21.54,-2.06
T2M,2008,-23.53,-24.06,-14.02,-2.38,6.59,14.76,16.8,17.69,8.33,2.91,-8.74,-27.48,-2.7
ALLSKY_SFC_SW_DWN,1990,0.87,1.67,3.12,4.64,6.14,6.08,5.67,5.18,3.26,1.47,1.05,0.64,3.33
ALLSKY_SFC_SW_DWN,1991,0.91,1.88,3.47,4.61,5.47,5.62,5.87,5.3,3.06,2.1,1.12,0.61,3.34
ALLSKY_SFC_SW_DWN,1992,0.86,1.84,3.3,4.66,5.85,5.96,5.25,4.87,3.3,1.81,0.99,0.65,3.28
ALLSKY_SFC_SW_DWN,1993,0.91,1.79,3.32,4.81,5.39,6.09,4.64,4.29,3.26,1.77,1.12,0.56,3.17
ALLSKY_SFC_SW_DWN,1994,0.95,1.85,3.14,5.15,4.89,6.5,5.48,4.43,3.13,1.5,0.96,0.56,3.22
ALLSKY_SFC_SW_DWN,1995,0.92,1.82,2.78,4.8,6.21,6.0,5.24,3.84,3.57,1.9,1.04,0.58,3.23
ALLSKY_SFC_SW_DWN,1996,0.96,1.66,3.39,4.85,5.91,5.69,5.66,5.07,3.16,1.81,1.04,0.65,3.33
ALLSKY_SFC_SW_DWN,1997,0.84,1.79,3.38,4.74,5.4,5.97,5.95,4.32,2.98,1.9,1.13,0.63,3.26
ALLSKY_SFC_SW_DWN,1998,0.94,1.85,3.27,5.27,6.18,5.71,6.4,4.98,3.42,2.03,1.12,0.67,3.49
ALLSKY_SFC_SW_DWN,1999,0.92,1.88,3.56,4.73,5.44,6.2,5.58,4.88,3.11,1.83,1.01,0.52,3.31
ALLSKY_SFC_SW_DWN,2000,0.87,1.73,3.19,4.93,4.93,5.65,5.66,4.61,2.73,1.96,0.99,0.56,3.15
ALLSKY_SFC_SW_DWN,2001,0.79,2.1,3.29,5.01,5.44,5.66,5.99,4.87,3.21,1.86,0.67,0.51,3.29
ALLSKY_SFC_SW_DWN,2002,0.93,1.88,3.73,4.95,6.44,6.42,5.42,4.43,2.64,1.62,0.72,0.46,3.31
ALLSKY_SFC_SW_DWN,2003,0.93,2.05,3.22,4.95,6.06,5.88,5.99,4.69,2.67,1.68,0.91,0.56,3.31
ALLSKY_SFC_SW_DWN,2004,0.88,1.59,3.53,4.97,5.71,5.9,5.29,4.02,2.74,1.59,0.92,0.56,3.14
ALLSKY_SFC_SW_DWN,2005,0.81,1.95,3.63,4.29,5.51,5.75,5.5,3.92,2.91,1.85,0.78,0.42,3.11
ALLSKY_SFC_SW_DWN,2006,0.73,1.87,3.5,4.93,4.7,6.17,5.08,4.41,3.69,1.73,0.76,0.51,3.18
ALLSKY_SFC_SW_DWN,2007,0.84,1.97,2.97,5.33,5.22,6.07,5.93,4.35,2.63,1.55,0.74,0.56,3.19
ALLSKY_SFC_SW_DWN,2008,0.83,2.0,3.67,5.12,6.51,6.2,4.97,4.87,2.99,1.74,0.7,0.66,3.36
CLRSKY_SFC_SW_DWN,1990,1.09,2.19,4.04,6.25,7.75,8.33,7.63,6.36,4.55,2.76,1.31,0.76,4.43
CLRSKY_SFC_SW_DWN,1991,1.09,2.2,4.06,6.13,7.55,8.18,7.65,6.33,4.63,2.77,1.33,0.74,4.4
CLRSKY_SFC_SW_DWN,1992,1.04,2.19,4.14,6.2,7.75,8.2,7.47,6.3,4.58,2.61,1.28,0.75,4.38
CLRSKY_SFC_SW_DWN,1993,1.09,2.2,4.1,6.19,7.59,8.29,7.64,6.25,4.57,2.65,1.31,0.75,4.4
CLRSKY_SFC_SW_DWN,1994,1.09,2.21,4.07,6.14,7.61,8.27,7.59,6.23,4.39,2.66,1.3,0.75,4.37
CLRSKY_SFC_SW_DWN,1995,1.05,2.23,4.09,6.13,7.69,8.13,7.63,6.44,4.6,2.73,1.38,0.76,4.42
CLRSKY_SFC_SW_DWN,1996,1.08,2.24,4.2,6.23,7.84,8.32,7.68,6.35,4.52,2.73,1.34,0.76,4.45
CLRSKY_SFC_SW_DWN,1997,1.11,2.26,4.19,6.18,7.82,8.36,7.74,6.39,4.53,2.74,1.36,0.75,4.46
CLRSKY_SFC_SW_DWN,1998,1.09,2.19,4.04,6.05,7.74,8.26,7.7,6.32,4.54,2.7,1.31,0.76,4.4
CLRSKY_SFC_SW_DWN,1999,1.08,2.18,4.14,6.12,7.73,8.31,7.61,6.41,4.61,2.67,1.3,0.75,4.42
CLRSKY_SFC_SW_DWN,2000,1.05,2.15,4.12,6.27,7.81,8.38,7.64,6.35,4.5,2.61,1.31,0.76,4.42
CLRSKY_SFC_SW_DWN,2001,1.12,2.38,4.23,6.16,7.63,8.31,7.75,6.34,4.48,2.71,1.32,0.8,4.45
