PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1995,39.75,-72.25,7.33,4.62,7.08,8.85,12.86,17.84,22.34,22.79,20.21,17.97,11.54,6.02,13.35
T2M,1995,39.75,-72.75,6.56,3.77,6.64,8.51,12.7,17.88,22.42,22.76,20.25,17.67,11.05,5.34,13.02
T2M,1995,39.75,-73.25,5.73,2.81,6.09,8.35,12.7,18.13,22.73,22.92,20.37,17.49,10.45,4.45,12.75
T2M,1995,39.75,-73.75,4.76,1.8,5.6,8.4,13.12,18.68,23.38,23.35,20.44,17.32,9.56,3.14,12.53
T2M,1995,39.75,-74.25,3.37,0.25,5.54,9.05,14.34,19.93,24.44,24.02,20.18,16.24,7.25,0.44,12.16
T2M,1995,39.75,-74.75,2.38,-0.86,5.5,9.39,15.13,20.89,25.24,24.66,19.96,15.31,5.49,-1.45,11.88
T2M,1995,39.75,-75.25,1.75,-1.48,5.42,9.44,15.46,21.45,25.58,25.04,19.78,14.73,4.48,-2.36,11.69
T2M,1995,40.25,-72.25,5.97,3.03,5.6,7.69,11.86,17.09,21.73,22.25,19.59,17.15,10.61,4.85,12.35
T2M,1995,40.25,-72.75,5.25,2.2,5.32,7.69,12.02,17.56,22.14,22.49,19.78,16.93,10.02,4.05,12.19
T2M,1995,40.25,-73.25,4.47,1.31,5.0,7.84,12.47,18.26,22.83,22.94,19.98,16.74,9.18,2.88,12.06
T2M,1995,40.25,-73.75,3.64,0.55,4.82,8.01,13.17,19.03,23.56,23.49,20.02,16.46,8.17,1.61,11.95
T2M,1995,40.25,-74.25,2.26,-1.05,4.86,8.53,14.29,20.36,24.67,24.21,19.53,15.15,5.75,-1.01,11.54
T2M,1995,40.25,-74.75,1.29,-2.05,4.73,8.57,14.67,21.0,25.04,24.62,19.1,14.23,4.21,-2.56,11.15
T2M,1995,40.25,-75.25,0.58,-2.62,4.52,8.36,14.68,21.13,24.87,24.74,18.8,13.67,3.32,-3.34,10.81
T2M,1995,40.75,-72.25,4.24,0.95,4.22,7.11,11.71,17.4,21.87,22.25,19.08,16.25,9.02,2.66,11.46
T2M,1995,40.75,-72.75,3.5,0.07,4.01,7.29,12.17,18.18,22.56,22.73,19.3,16.02,8.24,1.69,11.39
T2M,1995,40.75,-73.25,2.74,-0.76,3.91,7.51,12.8,19.04,23.34,23.24,19.35,15.68,7.25,0.53,11.3
T2M,1995,40.75,-73.75,1.73,-1.49,4.05,7.71,13.53,19.99,24.15,23.77,19.09,14.93,5.78,-1.05,11.09
T2M,1995,40.75,-74.25,0.63,-2.74,3.88,7.69,13.89,20.53,24.51,24.02,18.44,13.82,4.03,-2.6,10.59
T2M,1995,40.75,-74.75,-0.15,-3.51,3.61,7.39,13.79,20.53,24.3,24.08,17.89,13.07,2.88,-3.59,10.11
T2M,1995,40.75,-75.25,-0.78,-4.0,3.32,6.99,13.52,20.21,23.79,23.96,17.5,12.59,2.12,-4.22,9.67
T2M,1995,41.25,-72.25,1.95,-1.52,3.15,6.91,12.29,18.5,22.91,22.58,18.22,14.78,6.35,-0.87,10.51
T2M,1995,41.25,-72.75,1.15,-2.3,3.03,6.96,12.67,19.18,23.46,22.93,18.21,14.44,5.5,-1.75,10.37
T2M,1995,41.25,-73.25,0.38,-3.06,2.98,6.94,13.01,19.76,23.85,23.15,17.99,13.98,4.59,-2.54,10.17
T2M,1995,41.25,-73.75,-0.41,-3.66,3.15,7.05,13.42,20.42,24.4,23.56,17.72,13.27,3.35,-3.75,9.96
T2M,1995,41.25,-74.25,-1.1,-4.45,2.86,6.6,13.1,20.21,24.04,23.37,17.15,12.54,2.32,-4.39,9.44
T2M,1995,41.25,-74.75,-1.6,-4.97,2.51,6.11,12.74,19.81,23.51,23.25,16.68,12.07,1.58,-4.85,8.99
T2M,1995,41.25,-75.25,-2.02,-5.37,2.17,5.61,12.32,19.27,22.93,22.99,16.21,11.68,0.97,-5.22,8.55
T2M,1995,41.75,-72.25,-0.29,-3.75,2.34,6.39,12.52,19.22,23.66,22.46,17.02,13.09,3.74,-4.01,9.45
